Cuenta;Nombre;Ramo;signo
29000101005;PRIMAS EMITIDAS DIRECTAS;TOTAL;1
29000101010;PRIMAS ACEPTADAS EN COASEGURO;TOTAL;1
29000101015;CANC Y-O ANULAC PRIMAS EMIT DIR Y COA;TOTAL;-1
29000101020;ACEPTADAS REASEGURO INTERIOR;TOTAL;1
29000101025;ACEPTADAS REASEGURO EXTERIOR;TOTAL;1
29000101030;CANC Y-O ANULAC PRIMAS REASEG ACEP;TOTAL;-1
29000101035;CEDIDAS REASEGURO INTERIOR;TOTAL;-1
29000101040;CEDIDAS REASEGURO EXTERIOR;TOTAL;-1
29000101045;CANC Y-O ANULAC PRIMAS REASEG CEDI;TOTAL;-1
29000101050;Primas acept y/o cedidas x CamComp SOAT;TOTAL;1
29000101999;SUBTOTAL;TOTAL;1
29000102005;ELIMINADA;TOTAL;1
29000102006;LIBERAC RESER TEC DE PRIMA NO DEVENGADA;TOTAL;1
29000102007;LIBERAC RESER TEC POR INSUFICIE DE PRIMA;TOTAL;1
29000102010;LIBERACION RESERVA MATEMATICA;TOTAL;1
29000102015;LIBERACION RES MAT RIESGOS PROFESI;TOTAL;1
29000102017;LIBERACION RESERVA BEEPS(RESTA);TOTAL;1
29000102020;LIBERACION RES SEG VIDA AHORRO CON;TOTAL;1
29000102022;LIBERAC RESER TEC DE INSUFICI DE ACTIVOS;TOTAL;1
29000102025;ELIMINADA;TOTAL;1
29000102026;CONSTI RESER TEC DE PRIMA NO DEVENGADA;TOTAL;-1
29000102027;CONSTI RESER TEC POR INSUFICIE DE PRIMA;TOTAL;-1
29000102030;CONST RESERVA MATEMATICA;TOTAL;-1
29000102035;CONST RES MAT RIESGOS PROFESIONALES;TOTAL;-1
29000102037;CONSTITUCION RESERVA MATEMA BEEPS;TOTAL;-1
29000102040;CONST RES SEG VIDA AHORRO CON PARTI;TOTAL;-1
29000102045;CONSTITU RESER DE INSUFICIEN DE ACTIVOS;TOTAL;-1
29000102999;SUBTOTAL;TOTAL;1
29000103999;PRIMAS DEVENGADAS;TOTAL;1
29000104005; LIBERACION RES MAT RIESGOS PROFESIO;TOTAL;1
29000104007;LIBERACION RES MATEMATICA BEEPS;TOTAL;1
29000104010; LIBERACION RES PARA SINIESTROS AVISA;TOTAL;1
29000104015; LIBERACION RES PARA SINIESTROS NO AVIS;TOTAL;1
29000104020; LIBERACION RES DESVIAC DE SINIESTRAL;TOTAL;1
29000104025; LIBERACION RESERVAS ESPECIALES;TOTAL;1
29000104026;LIBERACION RESERVA DE RIESGO CATASTROFIC;TOTAL;1
29000104030; CONST RESERVA MATEMAT RIESG PROFES;TOTAL;-1
29000104035; CONST RESERVA SINIESTROS AVISAD;TOTAL;-1
29000104037;CONSTITUCION RESERVA MAT BEEPS (RESTA);TOTAL;-1
29000104040; CONST RESERVA SINIESTROS NO AVIS;TOTAL;-1
29000104045; CONST RESERVA DESVIAC SINIESTRALID;TOTAL;-1
29000104050; CONST RESERVAS ESPECIALES;TOTAL;-1
29000104051;CONST RESERVA DE RIESGO CATASTROFICO;TOTAL;-1
29000104999; SUBTOTAL;TOTAL;1
29000105005;SINIESTROS LIQUIDADOS;TOTAL;-1
29000105010;SINIESTROS DE ACEP REASEG INTERIOR;TOTAL;-1
29000105015;SINIESTROS DE ACEP CONT NO PROPORC;TOTAL;-1
29000105020;SINIESTROS DE ACEP REASEG EXTERIOR;TOTAL;-1
29000105025;SINIESTROS DE ACEP CONTRAT NO PROP;TOTAL;-1
29000105999;SUBTOTAL;TOTAL;1
29000106005;REEMB SINIESTROS SOB CESIONES REAS;TOTAL;1
29000106010;REEMB SINIESTROS CONTR NO PROPORC;TOTAL;1
29000106015;REEMB SINIESTROS SOB CESIONES REAS;TOTAL;1
29000106020;REEMB SINIESTROS CONTR NO PROPORC;TOTAL;1
29000106025;REEMB STROS GARANTIZ X LA NACION RGOS;TOTAL;1
29000106030;REEMB POR ENFERMEDAD PROFESIONAL;TOTAL;1
29000106999;SUBTOTAL;TOTAL;1
29000107005; SALVAMENTOS DE ACEP REAS INTERIOR;TOTAL;1
29000107010; SALVAMENTOS DE ACEP REAS EXTERIOR;TOTAL;1
29000107015; SALVAMENTOS LIQUIDADOS Y REALIZADOS;TOTAL;1
29000107020; RECOBROS;TOTAL;1
29000107025; GTOS SALVAM PARTE REASEG INTERIOR;TOTAL;-1
29000107030; GTOS SALVAM PARTE REASEG EXTERIOR;TOTAL;-1
29000107999; SUBTOTAL;TOTAL;1
29000108999;SINIESTROS CTA COMPANIA;TOTAL;1
29000109005;COMISIONES REASEGURO CEDIDO;TOTAL;-1
29000109010;INGRESOS EXCESO DE PERDIDA;TOTAL;1
29000109015;PARTICIP UTILIDADES REASEG CEDIDO;TOTAL;1
29000109020;INT Y GTOS RECONOCIDOS X REASEGUR;TOTAL;1
29000109025;INTER RECON A REASEGURADORES;TOTAL;-1
29000109030;PARTICIPAC UTILIDADES Y OTROS;TOTAL;1
29000109035;COSTO EXCESO DE PERDIDA;TOTAL;-1
29000109999;SUBTOTAL;TOTAL;1
29000110005;OTROS PRODUCTOS DE SEGUROS;TOTAL;1
29000110010;REMUNERACION DE ADMON DE COASEG;TOTAL;-1
29000110015;GTOS DE ADMON COASEG ACEPTADO;TOTAL;-1
29000110020;PROV CTAS POR COBRAR ACTIVIDAD ASEG;TOTAL;-1
29000110025;CTOS RIESGOS PROFESIONALES;TOTAL;-1
29000110030;CONTRIBUCIONES DE SEGUROS;TOTAL;-1
29000110035;OTROS EGRESOS;TOTAL;-1
29000110999;SUBTOTAL;TOTAL;1
29000111005;ELIMINADA;TOTAL;1
29000111010;ELIMINADA;TOTAL;1
29000111015;GASTOS DE ADMINISTRACION DIRECTOS RAMO;TOTAL;-1
29000111020;GASTOS DEPERSONAL DIRECTOS RAMO;TOTAL;-1
29000111025;GASTOS DE ADM INDIREC ASIGN A CADA  RAMO;TOTAL;-1
29000111030;GASTOS DE PERSO INDI ASIGNAB A CADA RAMO;TOTAL;-1
29000111999;SUBTOTAL;TOTAL;1
29000112005;REMUNERACION A FAVOR DE INTERMEDIA;TOTAL;-1
29000112010;COMISIONES AFP;TOTAL;-1
29000112015;ELIMINADA;TOTAL;1
29000112020;GASTOS EN TARIFACION;TOTAL;-1
29000112025;REMU POR USO DE RED Y A CANA DE COMERC;TOTAL;-1
29000112030;PAPELERIA Y GASTOS DE ENTREGA;TOTAL;-1
29000112999;SUBTOTAL;TOTAL;1
29000113999;Ys Y-O GTOS NETOS REASEG, ADMIN Y PERSON;TOTAL;1
29000114999;RESULTADO TECNICO;TOTAL;1
29000115005;ELIMINADA;TOTAL;1
29000115010;OTRAS PROVISIONES;TOTAL;-1
29000115015;Ys Y-O EGRESOS REPORTES PROG ESPEC;TOTAL;1
29000115020;OTROS INGRESOS Y EGRESOS;TOTAL;1
29000115025;ING REALI DE ACT V RAZ RESP LAS RES TECN;TOTAL;1
29000115030;ING CAUS ACT A CORT AMORT RESP RE TEC;TOTAL;1
29000115035;ING Y EGRE PORT DE INV DIF A RESER TECNI;TOTAL;1
29000115040;EGRE INVER DE LAS RESERNAS TECNICAS;TOTAL;-1
