"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31"
"29000101005";"PRIMAS EMITIDAS DIRECTAS";"TOTAL";24963372758;54239742758;84882898639;114905622454;150040100821;184274083800;214621118231;246322432061;281033753449;316280534720;351756722012;389552614427;28595306988;61173998120;96269133394;127050674111;167037120052;206565726592;237826796385;275834404679;316101576542;354546554135;393566375076;421038234881
"29000101010";"PRIMAS ACEPTADAS EN COASEGURO";"TOTAL";581706269;1105465553;1429937058;1804684520;2296850050;3181576333;3923356133;5570044917;6185654701;6789340911;7275264869;8586447708;522990710;989793692;1566309071;2678154558;3522915591;3733542843;5561089748;6717762793;7645303012;8805019093;9588518253;11311916810
"29000101015";"CANC Y-O ANULAC PRIMAS EMIT DIR Y COA";"TOTAL";-128644053;-584773002;-850281466;-1376586143;-1587199969;-1988098765;-2259079228;-2434828466;-2696979773;-3036281141;-3449392506;-3870228621;-760201158;-1396854909;-1789230701;-1958563028;-2058278262;-2197596172;-2237875051;-2301347744;-2630203931;-2665526984;-2965577487;-3947875853
"29000101020";"ACEPTADAS REASEGURO INTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000101025";"ACEPTADAS REASEGURO EXTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000101030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000101035";"CEDIDAS REASEGURO INTERIOR";"TOTAL";0;0;0;0;0;-13882192;-13882192;-10327655;-10327655;-10327655;-10327655;-10327655;0;0;0;-3750000;-3750000;0;0;0;0;0;0;0
"29000101040";"CEDIDAS REASEGURO EXTERIOR";"TOTAL";-1970043700;-4214622790;-6287570572;-8351995420;-15060570021;-18008078668;-20846899418;-23680626211;-26582478104;-29369549305;-32324018913;-37725667067;-1786394770;-3978938493;-7117492119;-9188180741;-15985386411;-17641718485;-20158217271;-23824690260;-27859290257;-31219103091;-33977547679;-37661248873
"29000101045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"TOTAL";-39253934;-108865996;-153826129;-213641483;-235610419;-267320944;-327520189;-343411799;-360755575;-377894980;-401062420;-527965913;-604550725;-897993272;-1103025891;-1112045830;-1112045830;-1116176738;-1116694697;-1116703827;-1118312488;-1118312488;-1206573893;-1269122906
"29000101050";"Primas acept y/o cedidas x CamComp SOAT";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000101999";"SUBTOTAL";"TOTAL";23485645208;50654678515;79328809788;107195366894;135924791300;167712921452;195752133715;226110106445;258290378193;291031612510;323649310227;357060804705;27176252495;57685991682;90031745536;119690380730;153624666800;191576131516;222108488508;257542833295;294375697854;330585255641;367418342056;392010149871
"29000102005";"ELIMINADA";"TOTAL";5909555520;11124006883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102006";"LIBERAC RESER TEC DE PRIMA NO DEVENGADA";"TOTAL";0;0;16353026555;20971019394;25359865880;29126448014;32586420700;35665504873;38092807925;39993895304;41226327944;41834273154;7774808123;13166068145;20399687077;26426416785;32059291872;36941349774;41424285978;45203715628;48109056006;50318933657;51733998531;52292018847
"29000102007";"LIBERAC RESER TEC POR INSUFICIE DE PRIMA";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102010";"LIBERACION RESERVA MATEMATICA";"TOTAL";327330695;327330695;335984614;341377905;408955148;399733452;438099121;475337664;465854104;596739873;606604777;520502805;77485318;81140486;185105430;207670987;705073404;745604537;800801014;869473856;909927599;458551003;429307270;515276828
"29000102015";"LIBERACION RES MAT RIESGOS PROFESI";"TOTAL";0;0;0;0;0;0;0;0;0;0;-9864904;-9864904;0;0;0;0;0;0;0;0;0;0;0;0
"29000102017";"LIBERACION RESERVA BEEPS(RESTA)";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102020";"LIBERACION RES SEG VIDA AHORRO CON";"TOTAL";0;16152192;29575587;31459801;34600852;42083006;46437535;83186544;107621708;114545772;118735301;116990916;7166470;23150151;39740716;40628368;53906345;70966673;81167938;81134362;100868094;100868094;100868094;100868094
"29000102022";"LIBERAC RESER TEC DE INSUFICI DE ACTIVOS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102025";"ELIMINADA";"TOTAL";4550698193;10434716446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102026";"CONSTI RESER TEC DE PRIMA NO DEVENGADA";"TOTAL";0;0;-16956924411;-22086716420;-27379512649;-32127992924;-35427776691;-39151866496;-43044033757;-47149414414;-49792315939;-51091470362;-9250168674;-18362449794;-28118377204;-32471848792;-39491232990;-47102056206;-49627218487;-55147860875;-58777116917;-60220382487;-62544665238;-59533309333
"29000102027";"CONSTI RESER TEC POR INSUFICIE DE PRIMA";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;-127655378;-343378885;-558427697;-56796624;-123703953;-104713744;-107434964;-161669638;-79278999;-85459786;-100023022
"29000102030";"CONST RESERVA MATEMATICA";"TOTAL";-3847007250;-7598793594;-11749482126;-15828417918;-19523026889;-20570735901;-24865947055;-29316993313;-34235208102;-35779823715;-36447995212;-36101200855;-2567461806;-5767984810;-8771513032;-12074242871;-15451798474;-15004528666;-17021841471;-18937374740;-20920055773;-22799238893;-23479268058;-27892127173
"29000102035";"CONST RES MAT RIESGOS PROFESIONALES";"TOTAL";199774607;381449720;600641630;804134109;1010195955;1054412460;1282890754;1542443254;1767145759;1792790612;1792790612;1748951226;68965416;206381103;355347898;505573100;657397051;604058852;690267647;765229958;819772842;895626891;899654166;953755954
