Cuenta;Nombre_cuenta;Ramo;31/01/2016;29/02/2016;31/03/2016;30/04/2016;31/05/2016;30/06/2016;31/07/2016;31/08/2016;30/09/2016;31/10/2016;30/11/2016;31/12/2016;31/01/2017;28/02/2017;31/03/2017;30/04/2017;31/05/2017;30/06/2017;31/07/2017;31/08/2017;30/09/2017;31/10/2017;30/11/2017;31/12/2017;31/01/2018
29000101005;PRIMAS EMITIDAS DIRECTAS;TOTAL; 17,442,615,389   ; 31,805,267,868   ; 46,356,716,145   ; 63,342,455,235   ; 78,823,087,951   ; 96,871,438,819   ; 117,653,032,823   ; 131,332,410,428   ; 143,422,287,847   ; 151,028,118,564   ; 680,671,175,084   ; 752,661,686,628   ; 55,316,582,885   ; 271,725,267,504   ; 348,261,347,719   ; 412,100,383,060   ; 468,228,216,277   ; 544,563,494,679   ; 586,913,711,301   ; 656,652,186,543   ; 724,180,025,878   ; 777,219,031,030   ; 840,731,089,177   ; 907,352,351,932   ; 80,347,840,882   
29000101010;PRIMAS ACEPTADAS EN COASEGURO;TOTAL; 1,822,873,732   ; 2,329,979,463   ; 2,555,125,023   ; 3,126,776,739   ; 3,714,676,498   ; 4,968,041,486   ; 5,723,812,144   ; 6,084,766,426   ; 6,949,157,233   ; 7,093,780,337   ; 26,994,786,013   ; 31,445,330,177   ; 2,086,488,979   ; 4,252,617,413   ; 4,904,214,554   ; 6,519,605,878   ; 10,328,129,605   ; 13,269,628,288   ; 17,772,866,096   ; 17,950,679,857   ; 19,119,434,346   ; 20,226,288,164   ; 22,992,180,430   ; 24,639,944,653   ; 3,153,586,886   
29000101015;CANC Y-O ANULAC PRIMAS EMIT DIR Y COA;TOTAL;-786,050,849   ;-1,524,467,841   ;-2,232,176,653   ;-2,971,459,455   ;-3,315,487,826   ;-4,377,769,058   ;-11,116,647,322   ;-11,749,602,177   ;-12,499,854,822   ;-13,454,621,852   ;-194,996,651,918   ;-211,234,983,679   ;-15,565,404,191   ;-201,253,001,179   ;-225,061,970,525   ;-245,363,942,258   ;-263,536,710,070   ;-298,039,572,703   ;-311,679,036,596   ;-327,582,597,144   ;-341,857,959,482   ;-358,791,024,120   ;-374,224,995,552   ;-391,206,761,953   ;-31,647,330,013   
29000101020;ACEPTADAS REASEGURO INTERIOR;TOTAL; 3,059,371,753   ; 4,814,678,904   ; 6,375,237,565   ; 8,332,574,475   ; 10,315,754,545   ; 11,738,609,371   ; 12,482,669,272   ; 13,536,227,053   ; 16,108,280,899   ; 16,287,951,278   ; 34,121,722,879   ; 35,638,830,399   ; 1,855,205,607   ; 4,143,020,655   ; 9,940,200,003   ; 13,324,532,833   ; 17,538,920,084   ; 20,130,371,881   ; 27,265,888,203   ; 30,376,313,866   ; 36,196,294,727   ; 43,516,942,230   ; 48,814,699,336   ; 50,377,217,558   ; 2,881,861,528   
29000101025;ACEPTADAS REASEGURO EXTERIOR;TOTAL; 928,325,082   ; 1,573,802,861   ; 2,360,159,804   ; 2,822,603,105   ; 3,027,027,226   ; 3,550,867,788   ; 3,980,593,435   ; 4,032,923,582   ; 4,804,254,555   ; 4,975,900,058   ; 12,955,190,448   ; 14,140,770,884   ; 412,785,791   ; 1,299,490,828   ; 1,322,030,748   ; 2,014,709,556   ; 2,361,821,535   ; 6,717,968,681   ; 6,906,958,969   ; 6,931,203,821   ; 6,939,360,710   ; 7,064,075,280   ; 8,407,837,191   ; 8,443,559,064   ; 3,933,090   
29000101030;CANC Y-O ANULAC PRIMAS REASEG ACEP;TOTAL;-424,529,779   ;-537,724,225   ;-554,425,019   ;-712,414,900   ;-899,121,511   ;-899,121,511   ;-899,121,511   ;-1,098,344,967   ;-1,227,343,926   ;-1,513,729,813   ;-2,252,587,880   ;-2,716,615,186   ;-86,991,156   ;-512,833,389   ;-1,790,751,957   ;-1,790,751,957   ;-1,790,975,881   ;-1,861,130,956   ;-2,262,876,273   ;-2,274,188,403   ;-2,708,280,123   ;-4,083,294,724   ;-5,315,069,705   ;-5,642,235,441   ;-136,498,382   
29000101035;CEDIDAS REASEGURO INTERIOR;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ;-1,118,340,922   ;-1,679,725,094   ;-1,679,725,094   ;-1,679,725,094   ;-1,679,725,104   ;-1,679,725,104   ; -     ; -     ; -     ; -     ;-21,614,521   ;-21,614,521   ;-21,614,521   ;-21,614,521   ;-21,614,521   ;-21,614,521   ;-21,614,521   ;-21,614,521   ; -     
29000101040;CEDIDAS REASEGURO EXTERIOR;TOTAL;-14,829,740,454   ;-25,037,406,491   ;-35,805,181,647   ;-46,750,241,880   ;-58,870,507,444   ;-73,613,306,306   ;-86,324,029,710   ;-95,192,170,403   ;-106,857,298,206   ;-111,626,804,904   ;-275,963,500,036   ;-294,073,128,042   ;-16,465,795,237   ;-28,845,026,712   ;-59,266,597,529   ;-78,831,616,238   ;-98,658,744,034   ;-119,768,073,251   ;-135,239,354,512   ;-163,050,203,715   ;-177,100,242,470   ;-189,679,385,976   ;-207,966,484,499   ;-229,469,829,477   ;-20,885,053,181   
29000101045;CANC Y-O ANULAC PRIMAS REASEG CEDI;TOTAL;-982,464,991   ;-1,663,788,806   ;-2,295,266,362   ;-3,020,343,625   ;-3,444,943,610   ;-4,301,379,313   ;-9,693,850,994   ;-10,360,790,496   ;-11,062,391,212   ;-11,970,512,186   ;-60,934,142,938   ;-66,580,611,220   ;-4,535,756,885   ;-9,806,305,643   ;-22,419,767,651   ;-32,122,989,578   ;-39,607,067,503   ;-47,603,831,974   ;-52,305,915,172   ;-58,154,427,648   ;-63,075,853,512   ;-70,391,707,805   ;-76,712,678,635   ;-84,004,787,443   ;-11,034,034,526   
29000101050;Primas acept y/o cedidas x CamComp SOAT;TOTAL; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
