"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29000101005";"PRIMAS EMITIDAS DIRECTAS";"TOTAL";24963372758;29276370000;30643155881;30022723815;35134478367;34233982979;30347034431;31701313830;34711321388;35246781271;35476187292;37795892415;28595306988;32578691132;35095135274;30781540717;39986445941;39528606540;31261069793;38007608294;40267171863;38444977593;39019820941;27471859805;30254619370
"29000101010";"PRIMAS ACEPTADAS EN COASEGURO";"TOTAL";581706269;523759284;324471505;374747462;492165530;884726283;741779800;1646688784;615609784;603686210;485923958;1311182839;522990710;466802982;576515379;1111845487;844761033;210627252;1827546905;1156673045;927540219;1159716081;783499160;1723398557;482307042
"29000101015";"CANC Y-O ANULAC PRIMAS EMIT DIR Y COA";"TOTAL";-128644053;-456128949;-265508464;-526304677;-210613826;-400898796;-270980463;-175749238;-262151307;-339301368;-413111365;-420836115;-760201158;-636653751;-392375792;-169332327;-99715234;-139317910;-40278879;-63472693;-328856187;-35323053;-300050503;-982298366;-192998979
"29000101020";"ACEPTADAS REASEGURO INTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000101025";"ACEPTADAS REASEGURO EXTERIOR";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000101030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000101035";"CEDIDAS REASEGURO INTERIOR";"TOTAL";0;0;0;0;0;-13882192;0;3554537;0;0;0;0;0;0;0;-3750000;0;3750000;0;0;0;0;0;0;0
"29000101040";"CEDIDAS REASEGURO EXTERIOR";"TOTAL";-1970043700;-2244579090;-2072947782;-2064424848;-6708574601;-2947508647;-2838820750;-2833726793;-2901851893;-2787071201;-2954469608;-5401648154;-1786394770;-2192543723;-3138553626;-2070688622;-6797205670;-1656332074;-2516498786;-3666472989;-4034599997;-3359812834;-2758444588;-3683701194;-2077718153
"29000101045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"TOTAL";-39253934;-69612062;-44960133;-59815354;-21968936;-31710525;-60199245;-15891610;-17343776;-17139405;-23167440;-126903493;-604550725;-293442547;-205032619;-9019939;0;-4130908;-517959;-9130;-1608661;0;-88261405;-62549013;-17396550
"29000101050";"Primas acept y/o cedidas x CamComp SOAT";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
