"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29000101005";"PRIMAS EMITIDAS DIRECTAS";"TOTAL";17442615388.92;14362652478.96;14551448277.04;16985739089.65;15480632716.9;18048350867.87;20781594003.96;13679377604.74;12089877418.81;7605830717.50998;529643056519.64;71990511544;55316582885;216408684619;76536080215;63839035341;56127833217;76335278402;42350216622;69738475242;67527839335;53039005152;63512058147;66621262755;80347840882
"29000101010";"PRIMAS ACEPTADAS EN COASEGURO";"TOTAL";1822873732.19;507105730.95;225145559.45;571651716.75;587899758.27;1253364988.64;755770657.34;360954282.82;864390806.25;144623103.84;19901005676.5;4450544164;2086488979;2166128434;651597141;1615391324;3808523727;2941498683;4503237808;177813761;1168754489;1106853818;2765892266;1647764223;3153586886
"29000101015";"CANC Y-O ANULAC PRIMAS EMIT DIR Y COA";"TOTAL";-786050848.84;-738416992.42;-707708812.04;-739282801.94;-344028371.02;-1062281232.2;-6738878263.39;-632954854.77;-750252645.029999;-954767030.290001;-181542030066.06;-16238331761;-15565404191;-185687596988;-23808969346;-20301971733;-18172767812;-34502862633;-13639463893;-15903560548;-14275362338;-16933064638;-15433971432;-16981766401;-31647330013
"29000101020";"ACEPTADAS REASEGURO INTERIOR";"TOTAL";3059371753.12;1755307151.3;1560558660.56;1957336909.56;1983180070.24;1422854825.97;744059901.200001;1053557781.24;2572053845.42;179670379.019999;17833771601.37;1517107520;1855205607;2287815048;5797179348;3384332830;4214387251;2591451797;7135516322;3110425663;5819980861;7320647503;5297757106;1562518222;2881861528
"29000101025";"ACEPTADAS REASEGURO EXTERIOR";"TOTAL";928325082.03;645477778.97;786356942.62;462443300.96;204424121.24;523840561.79;429725647.83;52330146.3099999;771330972.8;171645503.07;7979290390.38;1185580436;412785791;886705037;22539920;692678808;347111979;4356147146;188990288;24244852;8156889;124714570;1343761911;35721873;3933090
"29000101030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"TOTAL";-424529779.28;-113194445.6;-16700794.34;-157989880.4;-186706611;0;0;-199223456.76;-128998958.48;-286385887.25;-738858066.89;-464027306;-86991156;-425842233;-1277918568;0;-223924;-70155075;-401745317;-11312130;-434091720;-1375014601;-1231774981;-327165736;-136498382
"29000101035";"CEDIDAS REASEGURO INTERIOR";"TOTAL";0;0;0;0;0;0;-1118340921.61;-561384172.76;0;0;-9.63000011444092;0;0;0;0;0;-21614521;0;0;0;0;0;0;0;0
"29000101040";"CEDIDAS REASEGURO EXTERIOR";"TOTAL";-14829740453.77;-10207666037.46;-10767775155.58;-10945060232.89;-12120265564.4;-14742798861.84;-12710723404.38;-8868140692.84;-11665127802.79;-4769506697.89;-164336695132.16;-18109628006;-16465795237;-12379231475;-30421570817;-19565018709;-19827127796;-21109329217;-15471281261;-27810849203;-14050038755;-12579143506;-18287098523;-21503344978;-20885053181
"29000101045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"TOTAL";-982464991.04;-681323815.25;-631477555.93;-725077262.37;-424599985.57;-856435702.41;-5392471681.01;-666939502.120001;-701600716.449999;-908120973.530001;-48963630752.32;-5646468282;-4535756885;-5270548758;-12613462008;-9703221927;-7484077925;-7996764471;-4702083198;-5848512476;-4921425864;-7315854293;-6320970830;-7292108808;-11034034526
"29000101050";"Primas acept y/o cedidas x CamComp SOAT";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
