"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29000101005";"PRIMAS EMITIDAS DIRECTAS";"TOTAL";17442615388.92;31805267867.88;46356716144.92;63342455234.57;78823087951.47;96871438819.34;117653032823.3;131332410428.04;143422287846.85;151028118564.36;680671175084;752661686628;55316582885;271725267504;348261347719;412100383060;468228216277;544563494679;586913711301;656652186543;724180025878;777219031030;840731089177;907352351932;80347840882
"29000101010";"PRIMAS ACEPTADAS EN COASEGURO";"TOTAL";1822873732.19;2329979463.14;2555125022.59;3126776739.34;3714676497.61;4968041486.25;5723812143.59;6084766426.41;6949157232.66;7093780336.5;26994786013;31445330177;2086488979;4252617413;4904214554;6519605878;10328129605;13269628288;17772866096;17950679857;19119434346;20226288164;22992180430;24639944653;3153586886
"29000101015";"CANC Y-O ANULAC PRIMAS EMIT DIR Y COA";"TOTAL";-786050848.84;-1524467841.26;-2232176653.3;-2971459455.24;-3315487826.26;-4377769058.46;-11116647321.85;-11749602176.62;-12499854821.65;-13454621851.94;-194996651918;-211234983679;-15565404191;-201253001179;-225061970525;-245363942258;-263536710070;-298039572703;-311679036596;-327582597144;-341857959482;-358791024120;-374224995552;-391206761953;-31647330013
"29000101020";"ACEPTADAS REASEGURO INTERIOR";"TOTAL";3059371753.12;4814678904.42;6375237564.98;8332574474.54;10315754544.78;11738609370.75;12482669271.95;13536227053.19;16108280898.61;16287951277.63;34121722879;35638830399;1855205607;4143020655;9940200003;13324532833;17538920084;20130371881;27265888203;30376313866;36196294727;43516942230;48814699336;50377217558;2881861528
"29000101025";"ACEPTADAS REASEGURO EXTERIOR";"TOTAL";928325082.03;1573802861;2360159803.62;2822603104.58;3027027225.82;3550867787.61;3980593435.44;4032923581.75;4804254554.55;4975900057.62;12955190448;14140770884;412785791;1299490828;1322030748;2014709556;2361821535;6717968681;6906958969;6931203821;6939360710;7064075280;8407837191;8443559064;3933090
"29000101030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"TOTAL";-424529779.28;-537724224.88;-554425019.22;-712414899.62;-899121510.62;-899121510.62;-899121510.62;-1098344967.38;-1227343925.86;-1513729813.11;-2252587880;-2716615186;-86991156;-512833389;-1790751957;-1790751957;-1790975881;-1861130956;-2262876273;-2274188403;-2708280123;-4083294724;-5315069705;-5642235441;-136498382
"29000101035";"CEDIDAS REASEGURO INTERIOR";"TOTAL";0;0;0;0;0;0;-1118340921.61;-1679725094.37;-1679725094.37;-1679725094.37;-1679725104;-1679725104;0;0;0;0;-21614521;-21614521;-21614521;-21614521;-21614521;-21614521;-21614521;-21614521;0
"29000101040";"CEDIDAS REASEGURO EXTERIOR";"TOTAL";-14829740453.77;-25037406491.23;-35805181646.81;-46750241879.7;-58870507444.1;-73613306305.94;-86324029710.32;-95192170403.16;-106857298205.95;-111626804903.84;-275963500036;-294073128042;-16465795237;-28845026712;-59266597529;-78831616238;-98658744034;-119768073251;-135239354512;-163050203715;-177100242470;-189679385976;-207966484499;-229469829477;-20885053181
"29000101045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"TOTAL";-982464991.04;-1663788806.29;-2295266362.22;-3020343624.59;-3444943610.16;-4301379312.57;-9693850993.58;-10360790495.7;-11062391212.15;-11970512185.68;-60934142938;-66580611220;-4535756885;-9806305643;-22419767651;-32122989578;-39607067503;-47603831974;-52305915172;-58154427648;-63075853512;-70391707805;-76712678635;-84004787443;-11034034526
"29000101050";"Primas acept y/o cedidas x CamComp SOAT";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000101999";"SUBTOTAL";"TOTAL";8195329865.41;15087919345.36;21350721579;30210636943.06;36240373048.86;42540139901.5;50075819203.46;55627275343.56;60082149696.99;63081380758.53;340784552424;390762777297;32088629563;60615840763;100728240664;140095910452;174056110498;212594904072;241962457839;277136207952;327822872577;365842725168;410130320492;448477419258;44752375336
"29000102005";"ELIMINADA";"TOTAL";4123922093.27;7659053372.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102006";"LIBERAC RESER TEC DE PRIMA NO DEVENGADA";"TOTAL";0;0;11118446934;13826267110.2;16332596082.31;18021901710.47;19470296100.13;20709313892.22;21601179726.79;22336962842.39;86187965355;88318940216;24363133412;43110178468;60618869581;127801462795;124958348174;133650855917;141681718670;148848766603;154448819435;158941406164;161648575384;160876914159;21906492176
"29000102007";"LIBERAC RESER TEC POR INSUFICIE DE PRIMA";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;956265970
"29000102010";"LIBERACION RESERVA MATEMATICA";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102015";"LIBERACION RES MAT RIESGOS PROFESI";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102017";"LIBERACION RESERVA BEEPS(RESTA)";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102020";"LIBERACION RES SEG VIDA AHORRO CON";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102022";"LIBERAC RESER TEC DE INSUFICI DE ACTIVOS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102025";"ELIMINADA";"TOTAL";3950520780.09;6191636810.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102026";"CONSTI RESER TEC DE PRIMA NO DEVENGADA";"TOTAL";0;0;-7617894833.86;-11069847674.75;-11780755892;-12630390339.58;-13293547675.43;-13207051266.31;-13220147240.8;-12302074000.54;-121180570669;-135791413488;-21994204143;-34927767683;-52869676707;-70285184100;-81919298344;-96812212064;-104012122883;-112045384487;-124384250032;-130516794058;-155298622305;-148738054572.35;-28294841136
"29000102027";"CONSTI RESER TEC POR INSUFICIE DE PRIMA";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15584829100;-16208586580;-16588426684;-20055537391;-19671815596;-19652387962;-19840206596;0;-17054760542.65;-3681151288
"29000102030";"CONST RESERVA MATEMATICA";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102035";"CONST RES MAT RIESGOS PROFESIONALES";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102037";"CONSTITUCION RESERVA MATEMA BEEPS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102040";"CONST RES SEG VIDA AHORRO CON PARTI";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102045";"CONSTITU RESER DE INSUFICIEN DE ACTIVOS";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000102999";"SUBTOTAL";"TOTAL";173401313.18;1467416561.89;3500552100.14;2756419435.45;4551840190.31;5391511370.89;6176748424.7;7502262625.91;8381032485.99;10034888841.85;-34992605314;-47472473272;2368929269;8182410785;7749192874;41931449595;26830463250;20250217169;17614058396;17131566520;10412181441;8584405510;6349953079;-4915900956;-9113234278
"29000103999";"PRIMAS DEVENGADAS";"TOTAL";8368731178.59;16555335907.25;24851273679.14;32967056378.51;40792213239.17;47931651272.39;56252567628.16;63129537969.47;68463182182.98;73116269600.38;305791947110;343290304025;34457558832;68798251548;108477433538;182027360047;200886573748;232845121241;259576516235;294267774472;338235054018;374427130678;416480273571;443561518302;35639141058
"29000104005";" LIBERACION RES MAT RIESGOS PROFESIO";"TOTAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
