"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29000112005";"REMUNERACION A FAVOR DE INTERMEDIA";"TOTAL";497502415;1097389429;1753062417;2291726200;2987837004;3966158815;4502670749;5523909336;6395121728;7253941170;8132282328;9492972453;479886161;1207879264;1963358913;2424974641;3062920752;3668742499;4320834599;4850305521;5726338300;6619360478;8240404602;8381154874;739031776
"29000112010";"COMISIONES AFP";"TOTAL";0;0;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000112025";"REMU POR USO DE RED Y A CANA DE COMERC";"TOTAL";0;0;20117225484;27369675133;34476216441;43705656029;50768571887;58138671910;66293584536;74048000353;82396245004;89892215524;6537191860;12280636647;21336155449;28421072199;36584516584;45835209181;52791138098;61189330022;70355200289;79251481099;88197941309;93925285871;6371581675
"29000212005";"REMUNERACION A FAVOR DE INTERMEDIA";"SUBTOTAL - RAMOS";497502415;1097389429;1753062417;2291726200;2987837004;3966158815;4502670749;5523909336;6395121728;7253941170;8132282328;9492972453;497932269;1207879264;1963358913;2424974641;3062920752;3668742499;4320834599;4850305521;5726338300;6619360478;8240404602;8381154874;739031776
"29000212010";"COMISIONES AFP";"SUBTOTAL - RAMOS";0;0;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;23711622;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000212025";"REMU POR USO DE RED Y A CANA DE COMERC";"SUBTOTAL - RAMOS";0;0;20117225484;27369675133;34476216441;43705656029;50768571887;58138671910;66293584536;74048000353;82396245004;89892215524;6537191860;12280636647;21336155449;28421072199;36584516584;45835209181;52791138098;61189330022;70355200289;79251481099;88197941309;93925285871;6371581675
"29000312005";"REMUNERACION A FAVOR DE INTERMEDIA";"AUTOMOVILES";2886239;5257597;6245821;7338349;10173843;19569369;29436047;34695032;35761388;38240388;40560279;41050826;3274839;46166005;46473377;44700861;45909201;48259431;48774847;59099602;63025692;66535656;86718084;31884447;1790398
"29000312010";"COMISIONES AFP";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000312025";"REMU POR USO DE RED Y A CANA DE COMERC";"AUTOMOVILES";0;0;18156758;29925271;88844022;229147069;340733887;355939112;545286067;568764961;578174402;581578421;10296453;9581344;92306179;182341624;188315796;190574465;192636751;197696573;205474664;211255969;216237272;217427189;6083770
"29000412005";"REMUNERACION A FAVOR DE INTERMEDIA";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000412010";"COMISIONES AFP";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000412025";"REMU POR USO DE RED Y A CANA DE COMERC";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000512005";"REMUNERACION A FAVOR DE INTERMEDIA";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163620;547620;793920;1010340;1010340;0
"29000512010";"COMISIONES AFP";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000512025";"REMU POR USO DE RED Y A CANA DE COMERC";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000612005";"REMUNERACION A FAVOR DE INTERMEDIA";"RESPONSABILIDAD CIVIL";20356683;43138203;75244233;99648263;124334602;166822410;195133084;240822056;279985336;317167921;382332520;442058290;0;30378191;67013481;89794764;120909146;154790585;184435731;208580147;255985705;297462785;395888886;408168540;38507475
"29000612010";"COMISIONES AFP";"RESPONSABILIDAD CIVIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000612025";"REMU POR USO DE RED Y A CANA DE COMERC";"RESPONSABILIDAD CIVIL";0;0;17390028;23973584;30564241;43018448;49960487;59465743;70946038;82098822;92472070;99121289;4701653;12678234;20917288;34878201;48610737;61191431;70806722;87058842;102673077;114790608;129780829;118288104;8697056
"29000712005";"REMUNERACION A FAVOR DE INTERMEDIA";"INCENDIO";126808429;276259980;436317012;553251224;698239694;880781546;976032895;1177118895;1364742470;1543071023;1714934131;2016710080;113916693;241975545;400649852;481498503;649824580;781300297;878075630;977097895;1165910930;1365026600;1774657506;1926066150;142231117
"29000712010";"COMISIONES AFP";"INCENDIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000712025";"REMU POR USO DE RED Y A CANA DE COMERC";"INCENDIO";0;0;1300442677;1898498368;2367404063;2861507862;3300911399;3771337617;4236340264;4684764630;5153651782;5728835329;546834984;889651099;1504214223;1932930069;2400330688;2949928589;3390521097;3839113992;4308337709;4764074704;5153232581;5557802678;398947958
