"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29000109005";"COMISIONES REASEGURO CEDIDO";"TOTAL";515466759;1072815002;1683713824;2211771543;2993662870;3611863369;4318562900;5052891059;5767393564;6495530342;7163815157;8336738181;401029354;922131845;1817101202;2396236961;3243774578;3713215099;4401653620;5430145825;6514382398;7451400049;8197138916;8883108449;544670829
"29000109015";"PARTICIP UTILIDADES REASEG CEDIDO";"TOTAL";0;0;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;0;0;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394;0
"29000209005";"COMISIONES REASEGURO CEDIDO";"SUBTOTAL - RAMOS";515466759;1072815002;1683713824;2211771543;2993662870;3611863369;4318562900;5052891059;5767393564;6495530342;7163815157;8336738181;401029354;922131845;1817101202;2396236961;3243774578;3713215099;4401653620;5430145825;6514382398;7451400049;8197138916;8883108449;544670829
"29000209015";"PARTICIP UTILIDADES REASEG CEDIDO";"SUBTOTAL - RAMOS";0;0;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;614278238;0;0;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394;445432394;0
"29000309005";"COMISIONES REASEGURO CEDIDO";"AUTOMOVILES";71092142;90653737;103769854;113769876;160787936;282638761;385464474;533270976;543226561;593435777;607910046;616203146;10910070;64568296;188070363;277648105;328181101;334926210;495339314;546750862;590548921;684065994;763185600;807294070;20119999
"29000309015";"PARTICIP UTILIDADES REASEG CEDIDO";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000409005";"COMISIONES REASEGURO CEDIDO";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000409015";"PARTICIP UTILIDADES REASEG CEDIDO";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000509005";"COMISIONES REASEGURO CEDIDO";"CUMPLIMIENTO";3766368;9988427;14757947;20757107;32744147;36854671;38233671;38753351;42132391;42623231;43687803;44816063;988400;1542800;3045140;3767820;4027820;3343752;3872252;7496492;10573547;11423347;18947801;19524601;10092880
"29000509015";"PARTICIP UTILIDADES REASEG CEDIDO";"CUMPLIMIENTO";0;0;53500476;53500476;53500476;53500476;53500476;53500476;53500476;53500476;53500476;53500476;0;0;91199828;91199828;91199828;91190378;91190378;91190378;91190378;91190378;91190378;91190378;0
"29000609005";"COMISIONES REASEGURO CEDIDO";"RESPONSABILIDAD CIVIL";26594913;59936741;180819061;217615867;254732630;223944318;262200933;301551035;351423404;393496443;512168273;593066203;27590729;78793781;193134970;230704275;290069943;340939767;388500047;428850233;503780664;562200245;582636574;628232855;53297340
"29000609015";"PARTICIP UTILIDADES REASEG CEDIDO";"RESPONSABILIDAD CIVIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000709005";"COMISIONES REASEGURO CEDIDO";"INCENDIO";15907643;38131690;53768999;71815901;89240886;139362500;158782274;178704096;199193254;219532827;239523657;315295927;37863128;59915756;114673045;137001978;201534361;223678512;246011158;277973579;333093816;335066497;359598918;472650649;22176915
"29000709015";"PARTICIP UTILIDADES REASEG CEDIDO";"INCENDIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000809005";"COMISIONES REASEGURO CEDIDO";"TERREMOTO";9529888;21132377;30495592;41348473;51803345;69108443;80745496;92712540;105034139;117237651;129215236;179035834;20568085;33278694;66030244;79427622;101208572;113692395;127085342;147047381;180565500;181432141;196168363;260459814;14274543
"29000809015";"PARTICIP UTILIDADES REASEG CEDIDO";"TERREMOTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000909005";"COMISIONES REASEGURO CEDIDO";"SUSTRACCION";99979737;241449696;402240504;561583979;711888540;870272942;1004967071;1139078211;1283649433;1439251524;1601914459;1879043181;134305701;313015775;495078961;672606771;908511348;1136982954;1351893978;1612128083;1862437587;2149244255;2452296952;2584034896;210868256
"29000909015";"PARTICIP UTILIDADES REASEG CEDIDO";"SUSTRACCION";0;0;480032415;480032415;480032415;480032415;480032415;480032415;480032415;480032415;480032415;480032415;0;0;354232566;354232566;354232566;354242016;354242016;354242016;354242016;354242016;354242016;354242016;0
"29001009005";"COMISIONES REASEGURO CEDIDO";"TRANSPORTE";0;0;1208;1208;1208;1208;1208;1208;1208;14631208;18336208;133429458;0;0;0;0;0;0;0;0;0;0;0;102859350;843288
"29001009015";"PARTICIP UTILIDADES REASEG CEDIDO";"TRANSPORTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001109005";"COMISIONES REASEGURO CEDIDO";"CORRIENTE DÉBIL";191975994;377620726;554347941;732731240;910612331;1087042220;1265763073;1450190703;1637936525;1816037660;1821195595;2174934830;5332669;10133798;206858339;337804752;353793163;358611456;363937529;813381115;1205327789;1402293803;1408069472;1415588043;3564828
"29001109015";"PARTICIP UTILIDADES REASEG CEDIDO";"CORRIENTE DÉBIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001209005";"COMISIONES REASEGURO CEDIDO";"TODO RIESGO CONTRATISTA";8062705;18563116;27567154;37198506;47862161;54369745;57741062;61040201;64373972;68820959;82776839;60335911;11655765;11734771;23790597;26727725;30671388;34729759;43015750;42622636;39479384;52178370;63787937;63943091;793016
"29001209015";"PARTICIP UTILIDADES REASEG CEDIDO";"TODO RIESGO CONTRATISTA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001309005";"COMISIONES REASEGURO CEDIDO";"MANEJO";0;0;0;0;154046888;155279765;155297765;154962696;157452696;157452696;157452696;157452696;0;0;0;0;144296359;144056359;144056359;144056359;146692609;146805109;146805109;146805109;0
"29001309015";"PARTICIP UTILIDADES REASEG CEDIDO";"MANEJO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001409005";"COMISIONES REASEGURO CEDIDO";"LUCRO CESANTE";0;0;0;0;0;5633141;5633141;5633141;5633141;5633141;5633141;7856164;14289847;14985828;15155615;15155615;15157496;15157496;24525811;32817297;33236709;33236709;33439821;47908185;4917900
"29001409015";"PARTICIP UTILIDADES REASEG CEDIDO";"LUCRO CESANTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001509005";"COMISIONES REASEGURO CEDIDO";"MONTAJE Y ROTURA DE MAQUINARIA";88557369;215338492;315945564;414949386;579942798;686459992;877517670;1049161313;1312334802;1552364443;1849904260;2061839894;111621237;281810141;442488912;546063552;761977040;879166862;1064725494;1216741770;1442105852;1716046621;1966322415;2155917599;185938454
"29001509015";"PARTICIP UTILIDADES REASEG CEDIDO";"MONTAJE Y ROTURA DE MAQUINARIA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001609005";"COMISIONES REASEGURO CEDIDO";"AVIACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001609015";"PARTICIP UTILIDADES REASEG CEDIDO";"AVIACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001709005";"COMISIONES REASEGURO CEDIDO";"NAVEGACIÓN Y CASCO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
