"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29099903030";"Prima Emitida Directa";"TOTAL";42014863490;84439615187;133058514258;186922310685;247777134182;298476828114;357051675583;413811056794;366281305460;413054301944;461876210191;510098171758;48947310258.79;93059085694.78;139755828574.35;183264873273.72;230264786207.03;285478662725;336352900156.61;383598647843.2;429324946452.83;463600657416.67;497223076266.33;517996638989.86;32022050330.67
"29099903030";"Prima Emitida Directa";"SUBTOTAL - RAMOS";42014863490;84439615187;133058514258;186922310685;247777134182;298476828114;357051675583;413811056794;366281305460;413054301944;461876210191;510098171758;48947310258.79;93059085694.78;139755828574.35;183264873273.72;230264786207.03;285478662725;336352900156.61;383598647843.2;429324946452.83;463600657416.67;497223076266.33;517996638989.86;32022050330.67
"29099903030";"Prima Emitida Directa";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;277186140;763782339.79;850616688.78;923594347.35;1021496730.72;1023080892.03;1079726930;1163680161.61;1214019262.2;1300869348.83;1282030493.67;1299805131.33;1267043608.86;-4286952.33
"29099903030";"Prima Emitida Directa";"SOAT";3789749700;7374732000;11420896999;15421250899;19818671399;24785243499;30295767499;34979639199;36973899099;37435180099;37435853199;37436149299;-162100;304600;392900;392900;392900;310900;310900;310900;310900;310900;310900;310900;0
"29099903030";"Prima Emitida Directa";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903030";"Prima Emitida Directa";"RESPONSABILIDAD CIVIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903030";"Prima Emitida Directa";"INCENDIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903030";"Prima Emitida Directa";"TERREMOTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903030";"Prima Emitida Directa";"SUSTRACCION";3642038634;7871381895;12518171466;17829987175;22850697206;27611822721;33427055106;39105448054;44876979841;50915219022;57059158658;63555196020;5879386603;13128977402;19841940521;26603833568;33024519059;39501390658;45721095245;51062995114;58211629293;65471030877;73109553796;79822826558;7283193607
"29099903030";"Prima Emitida Directa";"TRANSPORTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903030";"Prima Emitida Directa";"CORRIENTE DÉBIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903030";"Prima Emitida Directa";"TODO RIESGO CONTRATISTA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099903030";"Prima Emitida Directa";"MANEJO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
