"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29099936040";"Comisiones Pagadas";"TOTAL";497502415;1097389429;21893999523;29685112955;37487765067;47695526466;55294954258;63686292868;72712417886;81325653145;90552238954;99408899599;7017078021;13488515911;23299514362;30846046840;39647437336;49503951680;57111972697;66039635543;76081538589;85870841577;96438345911;102306440745;7110613451
"29099936040";"Comisiones Pagadas";"SUBTOTAL - RAMOS";497502415;1097389429;21893999523;29685112955;37487765067;47695526466;55294954258;63686292868;72712417886;81325653145;90552238954;99408899599;7035124129;13488515911;23299514362;30846046840;39647437336;49503951680;57111972697;66039635543;76081538589;85870841577;96438345911;102306440745;7110613451
"29099936040";"Comisiones Pagadas";"AUTOMOVILES";2886239;5257597;24402579;37263620;99017865;248716438;370169934;390634144;581047455;607005349;618734681;622629247;13571292;55747349;138779556;227042485;234224997;238833896;241411598;256796175;268500356;277791625;302955356;249311636;7874168
"29099936040";"Comisiones Pagadas";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163620;547620;793920;1010340;1010340;0
"29099936040";"Comisiones Pagadas";"RESPONSABILIDAD CIVIL";20356683;43138203;92634261;123621847;154898843;209840858;245093571;300287799;350931374;399266743;474804590;541179579;4701653;43056425;87930769;124672965;169519883;215982016;255242453;295638989;358658782;412253393;525669715;526456644;47204531
"29099936040";"Comisiones Pagadas";"INCENDIO";126808429;276259980;1736759689;2451749592;3065643757;3742289408;4276944294;4948456512;5601082734;6227835653;6868585913;7745545409;660751677;1131626644;1904864075;2414428572;3050155268;3731228886;4268596727;4816211887;5474248639;6129101304;6927890087;7483868828;541179075
"29099936040";"Comisiones Pagadas";"TERREMOTO";49273597;123927090;1133884714;1460024857;1859420685;2447265113;2827036655;3299265537;3761966020;4193512426;4657533944;5240680175;437624012;739475425;1259650984;1636922198;2064333927;2539167546;2923997328;3324194035;3790181025;4263808668;4867817041;5271523001;436353639
"29099936040";"Comisiones Pagadas";"SUSTRACCION";39460576;101695506;864157133;1462186306;2012854250;2546080392;3045963370;3616955521;4531989573;5648234605;6776674852;8157197832;351410952;961260417;1676768757;2275224109;2954326766;3920147813;4648856647;5597421485;7105317788;8146003248;9596462964;9868033002;520615363
"29099936040";"Comisiones Pagadas";"TRANSPORTE";34865087;61781166;105889426;132108083;162664190;207055897;232028008;284212103;319511106;370993859;405012983;537625908;28584997;61017479;111200780;138078344;133994631;159116440;188291126;219146086;279898171;312587083;432455316;414549197;22383582
"29099936040";"Comisiones Pagadas";"CORRIENTE DÉBIL";10562194;30771671;1384979501;1582293667;1821760296;1981770863;2180515085;2422588326;2646779156;2592457866;2977115618;2542853494;48070870;82089069;86225319;264464172;582458170;659047076;725300226;1194687425;1632401355;1876383596;2056204591;2025420152;80883467
"29099936040";"Comisiones Pagadas";"TODO RIESGO CONTRATISTA";5407376;11459449;18151489;26703378;35100208;41274526;43297518;46952881;48875105;52664334;60608726;49457729;7560564;7855724;15887861;16833999;20981120;23477034;28947856;28258078;32267500;35572241;44228244;43727366;190210
"29099936040";"Comisiones Pagadas";"MANEJO";10432327;21744148;37313136;44242986;55103568;72651380;83688397;101702479;117060089;133225299;147951895;164940959;7759104;29219174;44770626;45714704;55929171;70721121;80677825;90751169;109357508;126862028;164348667;152174117;12140218
"29099936040";"Comisiones Pagadas";"LUCRO CESANTE";24118276;45019391;58844019;67553168;78159477;101508047;110199615;134111058;154463478;177849638;202418984;239665840;30206781;50453519;59318275;68413669;72545006;83878425;151037378;177320552;206735513;219641385;285718972;274395025;23366652
"29099936040";"Comisiones Pagadas";"MONTAJE Y ROTURA DE MAQUINARIA";58513995;179533838;395856793;523675794;746200029;1077996394;1247406464;1544607752;1804687245;2073895012;2346011017;2665321355;120958220;332995688;501937267;610331265;765269210;922409978;1187081626;1350137122;1606814550;1885194336;2118418368;2176313685;172161163
"29099936040";"Comisiones Pagadas";"AVIACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"NAVEGACIÓN Y CASCO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"MINAS Y PETRÓLEOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"VIDRIOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"CRÉDITO COMERCIAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"CRÉDITO A LA EXPORTACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"ELIMINADA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"DESEMPLEO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"HOGAR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"EXEQUIAS";0;0;43814858;44961457;46498551;48761995;55782260;64134038;71819967;80106482;82299719;66171803;82623;171755;5721436;30078951;30801824;31489279;31410103;65600506;77157635;85000029;93495008;126796317;76047
"29099936040";"Comisiones Pagadas";"ACCIDENTES PERSONALES";31769902;44907024;1067154967;1426063793;1776170893;2421252935;2734917744;3126933239;3509632035;3890610027;4332301344;4671733457;298175179;568143281;853889930;1156352430;1531079745;1860465696;2237850613;2629197966;2922578951;3343120458;3833662865;4182178377;170684670
"29099936040";"Comisiones Pagadas";"COLECTIVO VIDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"EDUCATIVO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"VIDA GRUPO";82516541;149426280;12320221784;16810006315;21208004426;27273160050;31671786206;36358193762;41277387865;46001548515;50881454116;55439399884;4290568390;7866749244;13907582829;18471871532;23773741571;30029847039;34430781172;39343242428;44293507945;49035762024;53830871262;57037830196;4055940784
"29099936040";"Comisiones Pagadas";"SALUD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"ENFERMEDADES DE ALTO COSTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"VIDA INDIVIDUAL";531193;2468086;2586223552;3468946470;4342556407;5252190548;6146413515;7023546095;7911473062;8686629958;9530913193;10534679549;735097815;1558654718;2644985898;3365617445;4208076047;5018139435;5712490019;6650868020;7923365251;9720966239;11357137115;12472852862;1019559882
"29099936040";"Comisiones Pagadas";"PREVISIONAL";0;0;23711622;23711622;23711622;23711622;23711622;23711622;23711622;189817379;189817379;189817379;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"RIESGOS LABORALES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"PENSIONES LEY 100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"PENSIONES VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"PENSIONES CON CONMUTACIÓN PENSIONAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"PATRIM. AUTÓNOMO - FDO. PENS. VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"RENTAS VOLUNTARIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"BEPS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"AGROPECUARIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"OPERACIONES NO ASIGNABLES A RAMOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29099936040";"Comisiones Pagadas";"Ramos_Total";497502415;1097389429;21893999523;29685112955;37487765067;47695526466;55294954258;63686292868;72712417886;81325653145;90552238954;99408899599;7035124129;13488515911;23299514362;30846046840;39647437336;49503951680;57111972697;66039635543;76081538589;85870841577;96438345911;102306440745;7110613451
