"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29000103999";"PRIMAS DEVENGADAS";"TOTAL";6199116545.7;19361483666.35;31400773219.62;44382276377.01;58709453861.97;74556109269.6;89963740904.14;106694908820.49;125196804808.5;143376993207.83;162432841926.06;181156806427.89;11702152885.63;28550075880.31;44496986706.44;63104468046.3;81872598658.65;100473428362.91;120904876691.48;138643921011.54;158959731238.81;178363635337.77;200916196713.04;221511517194.83;16820308468.67
"29000108999";"SINIESTROS CTA COMPANIA";"TOTAL";-3304973354.22;-6065459381.05;-8591079142.36;-11288221879.04;-14110911921.3;-19738840764.91;-22762686072.38;-26423760113.28;-28958969348.76;-31036475314.72;-35586929568.45;-40430947008.67;-3460816552.48;-6193876441.03;-9026216346.63;-11359708347.95;-14769362681.03;-19096487217.74;-21412044263.72;-24566924398.29;-27502747935.05;-30329784633.34;-34064946902.81;-36879918692.96;-3162997370.95
"29000203999";"PRIMAS DEVENGADAS";"SUBTOTAL - RAMOS";6199116545.7;19361483666.35;31400773219.62;44382276377.01;58709453861.97;74556109269.6;89963740904.14;106694908820.49;125196804808.5;143376993207.83;162432841926.06;181156806427.89;11702152885.63;28550075880.31;44496986706.44;63104468046.3;81872598658.65;100473428362.91;120904876691.48;138643921011.54;158959731238.81;178363635337.77;200916196713.04;221511517194.83;16820308468.67
"29000208999";"SINIESTROS CTA COMPANIA";"SUBTOTAL - RAMOS";-3304973354.22;-6065459381.05;-8591079142.36;-11288221879.04;-14110911921.3;-19738840764.91;-22762686072.38;-26423760113.28;-28958969348.76;-31036475314.72;-35586929568.45;-40430947008.67;-3460816552.48;-6193876441.03;-9026216346.63;-11359708347.95;-14769362681.03;-19096487217.74;-21412044263.72;-24566924398.29;-27502747935.05;-30329784633.34;-34064946902.81;-36879918692.96;-3162997370.95
"29000303999";"PRIMAS DEVENGADAS";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000308999";"SINIESTROS CTA COMPANIA";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000403999";"PRIMAS DEVENGADAS";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000408999";"SINIESTROS CTA COMPANIA";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000503999";"PRIMAS DEVENGADAS";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000508999";"SINIESTROS CTA COMPANIA";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000603999";"PRIMAS DEVENGADAS";"RESPONSABILIDAD CIVIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000608999";"SINIESTROS CTA COMPANIA";"RESPONSABILIDAD CIVIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000703999";"PRIMAS DEVENGADAS";"INCENDIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000708999";"SINIESTROS CTA COMPANIA";"INCENDIO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000803999";"PRIMAS DEVENGADAS";"TERREMOTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000808999";"SINIESTROS CTA COMPANIA";"TERREMOTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000903999";"PRIMAS DEVENGADAS";"SUSTRACCION";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000908999";"SINIESTROS CTA COMPANIA";"SUSTRACCION";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001003999";"PRIMAS DEVENGADAS";"TRANSPORTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001008999";"SINIESTROS CTA COMPANIA";"TRANSPORTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001103999";"PRIMAS DEVENGADAS";"CORRIENTE DÉBIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001108999";"SINIESTROS CTA COMPANIA";"CORRIENTE DÉBIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001203999";"PRIMAS DEVENGADAS";"TODO RIESGO CONTRATISTA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001208999";"SINIESTROS CTA COMPANIA";"TODO RIESGO CONTRATISTA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001303999";"PRIMAS DEVENGADAS";"MANEJO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001308999";"SINIESTROS CTA COMPANIA";"MANEJO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001403999";"PRIMAS DEVENGADAS";"LUCRO CESANTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001408999";"SINIESTROS CTA COMPANIA";"LUCRO CESANTE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001503999";"PRIMAS DEVENGADAS";"MONTAJE Y ROTURA DE MAQUINARIA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001508999";"SINIESTROS CTA COMPANIA";"MONTAJE Y ROTURA DE MAQUINARIA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001603999";"PRIMAS DEVENGADAS";"AVIACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001608999";"SINIESTROS CTA COMPANIA";"AVIACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001703999";"PRIMAS DEVENGADAS";"NAVEGACIÓN Y CASCO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001708999";"SINIESTROS CTA COMPANIA";"NAVEGACIÓN Y CASCO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001803999";"PRIMAS DEVENGADAS";"MINAS Y PETRÓLEOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001808999";"SINIESTROS CTA COMPANIA";"MINAS Y PETRÓLEOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001903999";"PRIMAS DEVENGADAS";"VIDRIOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29001908999";"SINIESTROS CTA COMPANIA";"VIDRIOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002003999";"PRIMAS DEVENGADAS";"CRÉDITO COMERCIAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002008999";"SINIESTROS CTA COMPANIA";"CRÉDITO COMERCIAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002103999";"PRIMAS DEVENGADAS";"CRÉDITO A LA EXPORTACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002108999";"SINIESTROS CTA COMPANIA";"CRÉDITO A LA EXPORTACIÓN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002203999";"PRIMAS DEVENGADAS";"ELIMINADA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002208999";"SINIESTROS CTA COMPANIA";"ELIMINADA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002303999";"PRIMAS DEVENGADAS";"ELIMINADA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002308999";"SINIESTROS CTA COMPANIA";"ELIMINADA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002403999";"PRIMAS DEVENGADAS";"DESEMPLEO";59391408;186092407.8;294599337;412375564;548167177;670282305;807755004;933153879;1081170296;1226628336;1377595007;1545591717;171273131;341530260;524839641;717079909.36;907194994.36;1103568891;1285279080;1402700612.5;1598769074.5;1800677918.5;2007105176.5;2216694075.5;197541570
"29002408999";"SINIESTROS CTA COMPANIA";"DESEMPLEO";-30471679.9;-39013687.4;-75763320.01;-62065092.01;-115629503.47;-162184605.77;-91521947.96;-86460740.56;-118214349.97;-99937388.69;-96369599.14;-112594094.03;-51544606.27;-87359844.14;-113226900.07;-153755879.71;-178230624.06;-220487367.09;-147825625.69;-155577308.69;-192332483.12;-192879655.7;-245113930.94;-294111657.08;-55777368.12
"29002503999";"PRIMAS DEVENGADAS";"HOGAR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002508999";"SINIESTROS CTA COMPANIA";"HOGAR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002603999";"PRIMAS DEVENGADAS";"EXEQUIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002608999";"SINIESTROS CTA COMPANIA";"EXEQUIAS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29002703999";"PRIMAS DEVENGADAS";"ACCIDENTES PERSONALES";4313274052.01;9135490831.88;14263234541.19;19056265635.54;24381967377.26;29420669437.32;34919872150.6;40178353522.76;45735744512.2;51300310823.55;56750726317.43;62364444304.34;5536764657.03;11015150424.96;16837923085.88;23000949035.51;29148023856.87;35352891607.6;41643673256.37;46353325749.59;52606389918.42;59037209884.51;65590916747.11;72097247483.41;6481162066.35
