"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29000101035";"CEDIDAS REASEGURO INTERIOR";"TOTAL";-21340193605.4;-47678500136.35;-71625180439.95;-99819618258.67;-126176089153.08;-153396949776.34;-178231019454.31;-204220870727.82;-230898981161.18;-257777094737.15;-286266589796.37;-315654575505.16;-26605160617.03;-49042304693.17;-80968302773.87;-108982906429.75;-136947352732.18;-164619969917.1;-190944229953.22;-220638276376.05;-253675815142.81;-285696766912.42;-315244963336.45;-346425422361.28;-25247343479.44
"29000101040";"CEDIDAS REASEGURO EXTERIOR";"TOTAL";-16211269720.3;-31320809653.9;-46668450246.37;-61952191333.13;-76688997438.83;-99999518973.05;-115869713580.25;-132630649874.34;-158150823328.94;-183073051772.91;-200786787725.76;-221667705625.69;-18425227116.29;-39588269807.4;-53686106318.52;-74608955246.1;-95000088639.83;-122671027013.22;-140361060967.88;-163643231321.88;-184877801436.16;-204094349119.27;-224200965866.4;-245649570716.91;-21613323033.07
"29000101045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"TOTAL";0;0;0;-64457755.43;-64457755.43;-64930864.01;-64930864.01;-65109939.97;-65497892.52;-69458907.3;-69458907.3;-69458907.3;-5558630.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-184428727.87;0
"29000201035";"CEDIDAS REASEGURO INTERIOR";"SUBTOTAL - RAMOS";-21340193605.4;-47678500136.35;-71625180439.95;-99819618258.67;-126176089153.08;-153396949776.34;-178231019454.31;-204220870727.82;-230898981161.18;-257777094737.15;-286266589796.37;-315654575505.16;-26605160617.03;-49042304693.17;-80968302773.87;-108982906429.75;-136947352732.18;-164619969917.1;-190944229953.22;-220638276376.05;-253675815142.81;-285696766912.42;-315244963336.45;-346425422361.28;-25247343479.44
"29000201040";"CEDIDAS REASEGURO EXTERIOR";"SUBTOTAL - RAMOS";-16211269720.3;-31320809653.9;-46668450246.37;-61952191333.13;-76688997438.83;-99999518973.05;-115869713580.25;-132630649874.34;-158150823328.94;-183073051772.91;-200786787725.76;-221667705625.69;-18425227116.29;-39588269807.4;-53686106318.52;-74608955246.1;-95000088639.83;-122671027013.22;-140361060967.88;-163643231321.88;-184877801436.16;-204094349119.27;-224200965866.4;-245649570716.91;-21613323033.07
"29000201045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"SUBTOTAL - RAMOS";0;0;0;-64457755.43;-64457755.43;-64930864.01;-64930864.01;-65109939.97;-65497892.52;-69458907.3;-69458907.3;-69458907.3;-5558630.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-5632178.61;-184428727.87;0
"29000301035";"CEDIDAS REASEGURO INTERIOR";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000301040";"CEDIDAS REASEGURO EXTERIOR";"AUTOMOVILES";-1047242339;-2164153605;-3175375760;-4135150328;-5228771221;-6638769036;-7725482618;-8682323934;-9845321307;-10808890387;-11892174714;-14729851125;-1909945728;-3928366508.51;-6008323375.51;-7982030012.02;-10091959192.02;-12708852550.15;-14810693144.66;-17335238623.74;-19315534029.74;-21465059703.24;-23613256979.14;-25361317854.9;-2990775962
"29000301045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12586097.76;0
"29000401035";"CEDIDAS REASEGURO INTERIOR";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000401040";"CEDIDAS REASEGURO EXTERIOR";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000401045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000501035";"CEDIDAS REASEGURO INTERIOR";"CUMPLIMIENTO";-11068.47;-11068.47;-11068.47;-11068.47;-11068.47;-11068.47;-11068.47;-11068.47;-14908.47;-14908.47;-14908.47;-18868.47;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000501040";"CEDIDAS REASEGURO EXTERIOR";"CUMPLIMIENTO";-112365274.25;-563624126.77;-588294479.33;-646185403.28;-676067930.83;-822903506.46;-935042661.28;-1066623091.57;-1416498962.36;-2181753757.9;-2773875913.82;-2840990217.25;-145496430.82;-252302593.75;-320320983.78;-459645192.16;-755550422.82;-805998016.33;-934976719.16;-1120729637.69;-1256314997.52;-1290095173.99;-1516336612.71;-1578600014.79;-158478667.64
"29000501045";"CANC Y-O ANULAC PRIMAS REASEG CEDI";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-35853.09;0
"29000601035";"CEDIDAS REASEGURO INTERIOR";"RESPONSABILIDAD CIVIL";-23270667.09;-23270667.09;-23270667.09;-30173868.27;-50501265.27;-103001265.27;-111897462.22;-113323411.16;-113323411.16;-121838748.58;-122530587.67;-124283529.25;-2000000;-28000000;-30883561.64;-30883561.64;-53693561.64;-180513506.57;-180969499.69;-181488576.64;-181958672.64;-215059385.39;-213559385.39;-211208905.39;0
