"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29000101020";"ACEPTADAS REASEGURO INTERIOR";"TOTAL";24021111407;50366608300;78611701993;108945150047;139209265870;169419530502;196681022063;225688819804;255983172942;286015190735;317338985708;349264452648;30062923310;57162748213;90971919048;122685110043;155762972161;188067566431;219322428011;254520987176;291289329793;327399438463;361937896735;396504478129;29133756263
"29000101025";"ACEPTADAS REASEGURO EXTERIOR";"TOTAL";335008802.42;651714010.01;1030123161.7;1413522225.8;1853191699.5;2389142664.99;2971123724.03;3514501081.09;4129302198.72;4790680366.09;5493068816.89;6180210920.88;651045417.26;2053506857.57;3183597454.66;4323742183.47;5552831078.63;6893129076.93;8162157835.52;9421570009.1;10696510301.58;12059342570.35;13379942880.34;14686008337.17;1348229880.88
"29000101030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"TOTAL";-2528888296.77;-5654116478.77;-9010546913.95;-12487603523.39;-16287675133.16;-19234762987.82;-22262153653.62;-25252512648.48;-29359243166.69;-32976288876.02;-36693050912.18;-39895585502.09;-2875744900.02;-5054086712.57;-9734804048.25;-13302570051.92;-16535162690.91;-23618862036.95;-29102478217.05;-34519257019.84;-39187029952.15;-44186906116.15;-49726118006.43;-53432155209.49;-4298147338.32
"29000201020";"ACEPTADAS REASEGURO INTERIOR";"SUBTOTAL - RAMOS";24021111407;50366608300;78611701993;108945150047;139209265870;169419530502;196681022063;225688819804;255983172942;286015190735;317338985708;349264452648;30062923310;57162748213;90971919048;122685110043;155762972161;188067566431;219322428011;254520987176;291289329793;327399438463;361937896735;396504478129;29133756263
"29000201025";"ACEPTADAS REASEGURO EXTERIOR";"SUBTOTAL - RAMOS";335008802.42;651714010.01;1030123161.7;1413522225.8;1853191699.5;2389142664.99;2971123724.03;3514501081.09;4129302198.72;4790680366.09;5493068816.89;6180210920.88;651045417.26;2053506857.57;3183597454.66;4323742183.47;5552831078.63;6893129076.93;8162157835.52;9421570009.1;10696510301.58;12059342570.35;13379942880.34;14686008337.17;1348229880.88
"29000201030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"SUBTOTAL - RAMOS";-2528888296.77;-5654116478.77;-9010546913.95;-12487603523.39;-16287675133.16;-19234762987.82;-22262153653.62;-25252512648.48;-29359243166.69;-32976288876.02;-36693050912.18;-39895585502.09;-2875744900.02;-5054086712.57;-9734804048.25;-13302570051.92;-16535162690.91;-23618862036.95;-29102478217.05;-34519257019.84;-39187029952.15;-44186906116.15;-49726118006.43;-53432155209.49;-4298147338.32
"29000301020";"ACEPTADAS REASEGURO INTERIOR";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000301025";"ACEPTADAS REASEGURO EXTERIOR";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000301030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"AUTOMOVILES";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000401020";"ACEPTADAS REASEGURO INTERIOR";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000401025";"ACEPTADAS REASEGURO EXTERIOR";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000401030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"SOAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000501020";"ACEPTADAS REASEGURO INTERIOR";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000501025";"ACEPTADAS REASEGURO EXTERIOR";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29000501030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"CUMPLIMIENTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
